trial_id,timestamp,stimulus_type,stimulus_text,true_emotion_label,circuit_vector,reported_emotion,emotion_intensity,importance_score,memory_classification,response_latency_ms,correct_prediction
10,2025-10-04T21:00:15.398375,memory_recall,Trial_0010_memory_recall,surprise,"[""L43.N2703"", ""L36.N369"", ""L33.N1693"", ""L42.N656"", ""L47.N830"", ""L42.N3675"", ""L46.N1369"", ""L28.N3545"", ""L44.N1853"", ""L46.N1150"", ""L32.N1931"", ""L44.N1664""]",surprise,0.2491,0.2052,short_term,126.04,True
11,2025-10-04T21:10:15.398570,learning_discovery,Trial_0011_learning_discovery,surprise,"[""L28.N3157"", ""L37.N1243"", ""L28.N3118"", ""L40.N2141"", ""L37.N957"", ""L43.N452"", ""L35.N2959""]",surprise,0.6915,0.5447,long_term,474.2,True
12,2025-10-04T21:20:15.398702,memory_recall,Trial_0012_memory_recall,joy,"[""L24.N1015"", ""L28.N4076"", ""L27.N3087"", ""L47.N335"", ""L46.N2305"", ""L40.N4059"", ""L43.N1687""]",joy,0.1136,0.2325,long_term,186.32,True
13,2025-10-04T21:30:15.398832,user_interaction,Trial_0013_user_interaction,joy,"[""L46.N2896"", ""L31.N2652"", ""L33.N1625"", ""L25.N114"", ""L32.N3974"", ""L27.N825"", ""L44.N1649""]",joy,0.0709,0.1669,short_term,332.02,True
14,2025-10-04T21:40:15.398962,task_completion,Trial_0014_task_completion,sadness,"[""L46.N3261"", ""L28.N3851"", ""L40.N3766"", ""L36.N2326"", ""L26.N872"", ""L40.N3952"", ""L43.N1903"", ""L45.N396"", ""L42.N2224"", ""L27.N395"", ""L32.N3986"", ""L35.N264""]",sadness,0.4299,0.5306,short_term,243.2,True
15,2025-10-04T21:50:15.399156,memory_recall,Trial_0015_memory_recall,neutral,"[""L28.N3234"", ""L46.N732"", ""L34.N3914"", ""L41.N750"", ""L35.N3080"", ""L33.N953"", ""L35.N2960"", ""L29.N1542"", ""L37.N1676"", ""L31.N2217"", ""L32.N2993"", ""L25.N1540"", ""L28.N1445"", ""L42.N3719""]",neutral,0.1873,0.2047,short_term,225.89,True
16,2025-10-04T22:00:15.399388,user_interaction,Trial_0016_user_interaction,anger,"[""L43.N2523"", ""L31.N828"", ""L32.N1958"", ""L24.N2434"", ""L36.N2395"", ""L40.N3480"", ""L47.N928"", ""L29.N1140"", ""L29.N2105"", ""L35.N684"", ""L36.N1852"", ""L38.N1172"", ""L39.N2933"", ""L44.N202"", ""L28.N1699"", ""L26.N1682"", ""L43.N3512"", ""L41.N2094""]",anger,0.1051,0.1484,long_term,84.61,True
17,2025-10-04T22:10:15.399704,task_completion,Trial_0017_task_completion,sadness,"[""L32.N739"", ""L45.N3006"", ""L40.N1224"", ""L24.N2036"", ""L43.N2508"", ""L39.N924"", ""L36.N1581"", ""L26.N3324"", ""L29.N1617""]",sadness,0.1777,0.2973,short_term,525.08,True
18,2025-10-04T22:20:15.399867,task_completion,Trial_0018_task_completion,anger,"[""L40.N1484"", ""L24.N1633"", ""L32.N3170"", ""L24.N404"", ""L39.N2870"", ""L29.N475"", ""L40.N2756"", ""L28.N1893"", ""L26.N1460"", ""L46.N3044""]",anger,0.1048,0.1813,short_term,244.49,True
19,2025-10-04T22:30:15.400033,autonomous_thought,Trial_0019_autonomous_thought,neutral,"[""L41.N267"", ""L24.N1077"", ""L35.N388"", ""L40.N623"", ""L38.N2966"", ""L38.N1252"", ""L44.N3981"", ""L25.N2122"", ""L42.N2150"", ""L29.N3775"", ""L25.N2853"", ""L41.N2145"", ""L41.N2845"", ""L38.N2906"", ""L42.N446""]",neutral,0.1474,0.1785,short_term,337.94,True
20,2025-10-04T22:40:15.400254,conversation,Trial_0020_conversation,sadness,"[""L28.N2593"", ""L29.N2100"", ""L25.N204"", ""L34.N42"", ""L39.N4042"", ""L42.N2158"", ""L46.N3254"", ""L39.N2142"", ""L34.N3445"", ""L39.N3591"", ""L27.N359"", ""L27.N1719""]",sadness,0.1891,0.3058,long_term,567.63,True
21,2025-10-04T22:50:15.400450,learning_discovery,Trial_0021_learning_discovery,sadness,"[""L40.N1101"", ""L36.N3994"", ""L32.N2841"", ""L38.N1144"", ""L45.N2286"", ""L47.N2397""]",sadness,0.5806,0.4803,short_term,251.71,True
22,2025-10-04T23:00:15.400571,task_completion,Trial_0022_task_completion,disgust,"[""L47.N882"", ""L30.N1026"", ""L38.N918"", ""L37.N2410"", ""L38.N1531"", ""L36.N3345"", ""L29.N2786"", ""L42.N3086"", ""L46.N484"", ""L33.N1062"", ""L40.N1254"", ""L45.N3545"", ""L35.N536"", ""L40.N3596"", ""L43.N2072"", ""L27.N3465"", ""L26.N232"", ""L36.N1169""]",disgust,0.4921,0.4687,short_term,121.6,True
23,2025-10-04T23:10:15.400827,autonomous_thought,Trial_0023_autonomous_thought,sadness,"[""L46.N2671"", ""L27.N3421"", ""L34.N3517"", ""L47.N2870"", ""L32.N758"", ""L26.N242"", ""L31.N228"", ""L27.N919"", ""L29.N3393"", ""L43.N1755""]",neutral,0.2049,0.35,long_term,905.38,False
24,2025-10-04T23:20:15.401001,task_completion,Trial_0024_task_completion,sadness,"[""L43.N224"", ""L43.N112"", ""L35.N558"", ""L24.N2137"", ""L37.N319"", ""L29.N1828"", ""L34.N3582""]",sadness,0.1674,0.3108,short_term,170.43,True
25,2025-10-04T23:30:15.401141,memory_recall,Trial_0025_memory_recall,neutral,"[""L40.N1604"", ""L35.N1969"", ""L37.N1908"", ""L47.N3530"", ""L32.N4001"", ""L35.N4066"", ""L26.N2560"", ""L31.N3391"", ""L45.N3643"", ""L31.N3850"", ""L32.N1252"", ""L37.N1851"", ""L26.N724"", ""L28.N2052"", ""L42.N3450"", ""L37.N3481"", ""L27.N600"", ""L36.N1065"", ""L41.N2343""]",neutral,0.5792,0.6521,short_term,402.81,True
26,2025-10-04T23:40:15.401396,user_interaction,Trial_0026_user_interaction,neutral,"[""L30.N1970"", ""L29.N1669"", ""L26.N2438"", ""L42.N4039"", ""L33.N1471"", ""L43.N3086"", ""L38.N1692""]",neutral,0.2083,0.28,short_term,556.16,True
27,2025-10-04T23:50:15.401543,autonomous_thought,Trial_0027_autonomous_thought,neutral,"[""L38.N2275"", ""L36.N2263"", ""L43.N3767"", ""L38.N3228"", ""L31.N3332"", ""L38.N2371"", ""L35.N3756"", ""L25.N3482"", ""L42.N2802"", ""L27.N3363"", ""L34.N3354"", ""L28.N1683"", ""L34.N3325"", ""L33.N2919"", ""L29.N3205"", ""L31.N2070"", ""L38.N345"", ""L37.N362"", ""L35.N2265""]",neutral,0.276,0.2542,short_term,328.7,True
28,2025-10-05T00:00:15.401796,task_completion,Trial_0028_task_completion,neutral,"[""L32.N1013"", ""L42.N3100"", ""L37.N3367"", ""L32.N3797"", ""L34.N1430"", ""L24.N2861"", ""L28.N3476"", ""L37.N2467"", ""L45.N3030"", ""L24.N1854"", ""L45.N566"", ""L42.N935"", ""L38.N2708"", ""L38.N3016"", ""L44.N3208"", ""L33.N3507"", ""L44.N3737"", ""L32.N3874"", ""L43.N536""]",neutral,0.1926,0.2225,short_term,411.34,True
29,2025-10-05T00:10:15.402050,error_event,Trial_0029_error_event,surprise,"[""L41.N1492"", ""L40.N966"", ""L40.N1107"", ""L32.N688"", ""L43.N3701"", ""L45.N2523"", ""L31.N2608"", ""L30.N1792"", ""L36.N989"", ""L46.N2482"", ""L47.N722"", ""L40.N428"", ""L39.N3495"", ""L42.N2065"", ""L24.N2637"", ""L42.N3246""]",surprise,0.2054,0.2363,short_term,496.45,True
30,2025-10-05T00:20:15.402278,memory_recall,Trial_0030_memory_recall,joy,"[""L30.N3420"", ""L31.N832"", ""L46.N1858"", ""L47.N2006"", ""L31.N3125"", ""L38.N3300""]",joy,0.317,0.3154,short_term,277.65,True
31,2025-10-05T00:30:15.402400,user_interaction,Trial_0031_user_interaction,anger,"[""L39.N2001"", ""L30.N329"", ""L30.N3744"", ""L46.N3156"", ""L42.N3695"", ""L42.N1571"", ""L41.N513"", ""L24.N2862"", ""L28.N1939"", ""L34.N745"", ""L25.N706""]",anger,0.5605,0.4486,short_term,240.93,True
32,2025-10-05T00:40:15.402590,error_event,Trial_0032_error_event,fear,"[""L31.N4033"", ""L36.N1304"", ""L30.N3272"", ""L45.N1301"", ""L34.N2541"", ""L27.N2713"", ""L36.N2657"", ""L46.N804"", ""L34.N2885"", ""L41.N2175"", ""L44.N2089"", ""L27.N40"", ""L29.N2081""]",fear,0.3696,0.3501,long_term,226.09,True
33,2025-10-05T00:50:15.402784,learning_discovery,Trial_0033_learning_discovery,neutral,"[""L25.N3067"", ""L45.N1386"", ""L24.N2866"", ""L44.N3363"", ""L42.N793"", ""L44.N3850"", ""L31.N2058"", ""L27.N1136"", ""L30.N2791"", ""L26.N1333"", ""L25.N54"", ""L38.N2711"", ""L45.N405"", ""L28.N3383"", ""L24.N1785"", ""L27.N750"", ""L43.N3538"", ""L26.N3315""]",neutral,0.6092,0.5842,long_term,206.97,True
34,2025-10-05T01:00:15.403026,error_event,Trial_0034_error_event,surprise,"[""L30.N3874"", ""L26.N3569"", ""L28.N107"", ""L35.N1458"", ""L29.N2913"", ""L35.N2322"", ""L28.N3115"", ""L40.N3004"", ""L40.N329"", ""L46.N1520"", ""L38.N11"", ""L39.N215"", ""L42.N1799""]",surprise,0.2962,0.3076,short_term,257.69,True
35,2025-10-05T01:10:15.403229,conversation,Trial_0035_conversation,joy,"[""L45.N249"", ""L30.N3853"", ""L38.N628"", ""L30.N136"", ""L42.N2735"", ""L31.N1521"", ""L46.N1500"", ""L41.N3294"", ""L43.N934""]",joy,0.1149,0.2177,short_term,238.64,True
36,2025-10-05T01:20:15.403382,memory_recall,Trial_0036_memory_recall,joy,"[""L47.N2544"", ""L27.N1372"", ""L45.N920"", ""L36.N2769"", ""L24.N15"", ""L36.N1449"", ""L35.N2941"", ""L25.N310"", ""L26.N3241"", ""L25.N2461"", ""L46.N1804"", ""L36.N1297"", ""L26.N1914"", ""L30.N813"", ""L43.N28"", ""L40.N476"", ""L44.N747"", ""L39.N3511"", ""L35.N1262""]",joy,0.2852,0.3205,short_term,110.43,True
37,2025-10-05T01:30:15.403647,user_interaction,Trial_0037_user_interaction,neutral,"[""L38.N2864"", ""L47.N963"", ""L35.N2234"", ""L28.N2108"", ""L28.N938"", ""L29.N806"", ""L47.N3390"", ""L37.N3415"", ""L34.N1085"", ""L36.N2273"", ""L30.N2611"", ""L27.N1594"", ""L31.N3731""]",neutral,0.3745,0.3337,long_term,315.48,True
38,2025-10-05T01:40:15.403839,conversation,Trial_0038_conversation,neutral,"[""L40.N1596"", ""L33.N2466"", ""L41.N849"", ""L40.N2263"", ""L26.N159"", ""L26.N4069"", ""L36.N3191"", ""L38.N3160"", ""L32.N579"", ""L37.N1380"", ""L25.N1290"", ""L32.N951"", ""L26.N2682"", ""L32.N1218""]",fear,0.2698,0.2847,long_term,322.32,False
39,2025-10-05T01:50:15.404059,creative_output,Trial_0039_creative_output,surprise,"[""L36.N592"", ""L41.N3111"", ""L36.N2271"", ""L42.N2745"", ""L26.N1591"", ""L31.N1889"", ""L31.N3930"", ""L36.N1772"", ""L24.N1285""]",surprise,0.3343,0.3118,short_term,178.62,True
40,2025-10-05T02:00:15.404214,user_interaction,Trial_0040_user_interaction,neutral,"[""L46.N425"", ""L33.N2719"", ""L34.N3508"", ""L30.N3998"", ""L41.N2403"", ""L25.N3789"", ""L36.N2012""]",neutral,0.6162,0.5555,long_term,205.29,True
41,2025-10-05T02:10:15.404343,memory_recall,Trial_0041_memory_recall,neutral,"[""L45.N1219"", ""L43.N1887"", ""L27.N1265"", ""L27.N730"", ""L40.N2571"", ""L45.N2448"", ""L33.N885"", ""L24.N21"", ""L47.N4090"", ""L41.N2353"", ""L37.N703"", ""L38.N284"", ""L35.N3747"", ""L26.N947"", ""L35.N1030"", ""L34.N3104"", ""L29.N2926""]",neutral,0.4984,0.4923,short_term,428.77,True
42,2025-10-05T02:20:15.404589,error_event,Trial_0042_error_event,neutral,"[""L35.N3511"", ""L44.N2350"", ""L39.N868"", ""L43.N3845"", ""L42.N1976"", ""L28.N1410"", ""L24.N569"", ""L29.N3598"", ""L25.N1980"", ""L26.N1855"", ""L40.N792"", ""L47.N3595"", ""L41.N1294"", ""L35.N2255"", ""L31.N1083"", ""L37.N984"", ""L40.N3676"", ""L44.N519""]",neutral,0.392,0.4465,short_term,348.8,True
43,2025-10-05T02:30:15.404839,autonomous_thought,Trial_0043_autonomous_thought,surprise,"[""L35.N1875"", ""L27.N520"", ""L29.N4015"", ""L45.N1013"", ""L44.N116"", ""L25.N1367"", ""L31.N394"", ""L36.N2768"", ""L31.N3860"", ""L41.N2013"", ""L41.N1389"", ""L38.N606"", ""L29.N1567"", ""L34.N1324"", ""L24.N2043"", ""L29.N3496"", ""L31.N778"", ""L45.N3762""]",surprise,0.3913,0.376,long_term,213.88,True
44,2025-10-05T02:40:15.405089,learning_discovery,Trial_0044_learning_discovery,anger,"[""L25.N3237"", ""L30.N89"", ""L37.N2169"", ""L41.N142"", ""L25.N105"", ""L46.N427"", ""L40.N1895"", ""L34.N316"", ""L26.N634"", ""L29.N2056"", ""L29.N3144""]",anger,0.1972,0.2335,short_term,187.24,True
45,2025-10-05T02:50:15.405271,learning_discovery,Trial_0045_learning_discovery,surprise,"[""L26.N3198"", ""L32.N3771"", ""L33.N13"", ""L34.N3025"", ""L45.N3083"", ""L46.N3595"", ""L36.N1560"", ""L36.N1266"", ""L42.N3638"", ""L37.N3427""]",surprise,0.1645,0.3591,short_term,199.11,True
46,2025-10-05T03:00:15.405451,memory_recall,Trial_0046_memory_recall,sadness,"[""L40.N2909"", ""L44.N158"", ""L47.N403"", ""L28.N515"", ""L35.N3453"", ""L43.N955"", ""L47.N3633"", ""L40.N2994"", ""L32.N2467"", ""L44.N2913"", ""L27.N2625"", ""L38.N1441"", ""L27.N1797"", ""L30.N4009"", ""L42.N1394"", ""L45.N636""]",sadness,0.0489,0.1757,long_term,211.51,True
47,2025-10-05T03:10:15.405682,learning_discovery,Trial_0047_learning_discovery,anger,"[""L47.N2278"", ""L43.N129"", ""L30.N837"", ""L40.N2938"", ""L25.N3234"", ""L28.N260"", ""L24.N1447"", ""L35.N4023"", ""L27.N300"", ""L46.N3374"", ""L34.N3081"", ""L26.N629"", ""L37.N2639"", ""L33.N1628"", ""L33.N2891"", ""L32.N1280"", ""L28.N3347"", ""L31.N1706""]",joy,0.2411,0.2117,short_term,210.26,False
48,2025-10-05T03:20:15.405936,user_interaction,Trial_0048_user_interaction,joy,"[""L25.N968"", ""L28.N1043"", ""L24.N2166"", ""L26.N197"", ""L28.N3828"", ""L28.N1184"", ""L40.N2738"", ""L37.N1035"", ""L33.N275"", ""L44.N2289"", ""L47.N1274"", ""L34.N125"", ""L25.N216"", ""L41.N3868"", ""L30.N1246"", ""L47.N2542"", ""L34.N3249"", ""L46.N3499""]",joy,0.3147,0.3777,short_term,311.67,True
49,2025-10-05T03:30:15.406183,memory_recall,Trial_0049_memory_recall,surprise,"[""L46.N3289"", ""L34.N1993"", ""L41.N4049"", ""L40.N3609"", ""L31.N302"", ""L31.N3952"", ""L35.N986"", ""L31.N344"", ""L37.N1987"", ""L24.N3072"", ""L42.N1310""]",surprise,0.6479,0.5521,long_term,548.32,True
50,2025-10-05T03:40:15.406353,learning_discovery,Trial_0050_learning_discovery,surprise,"[""L37.N1667"", ""L29.N18"", ""L29.N3553"", ""L41.N2444"", ""L32.N3350"", ""L42.N1388"", ""L34.N3712"", ""L47.N4093"", ""L45.N454"", ""L44.N3726""]",surprise,0.6042,0.6871,long_term,592.38,True
51,2025-10-05T03:50:15.406522,error_event,Trial_0051_error_event,surprise,"[""L37.N2889"", ""L25.N2989"", ""L32.N1026"", ""L44.N3865"", ""L31.N2863"", ""L25.N2501"", ""L44.N3292"", ""L35.N1156"", ""L25.N303"", ""L28.N3022"", ""L35.N1763"", ""L38.N42"", ""L39.N2390"", ""L29.N3885"", ""L41.N2411"", ""L34.N1004"", ""L44.N406"", ""L34.N1014""]",surprise,0.0593,0.1491,short_term,251.87,True
52,2025-10-05T04:00:15.406763,creative_output,Trial_0052_creative_output,sadness,"[""L41.N1"", ""L40.N2636"", ""L27.N2137"", ""L34.N1286"", ""L35.N3657"", ""L30.N2956"", ""L30.N3006"", ""L47.N3312""]",sadness,0.383,0.4072,short_term,197.41,True
53,2025-10-05T04:10:15.406902,autonomous_thought,Trial_0053_autonomous_thought,fear,"[""L32.N3097"", ""L32.N1806"", ""L33.N983"", ""L33.N2631"", ""L47.N719"", ""L40.N3225"", ""L28.N1603"", ""L41.N2711"", ""L42.N3683"", ""L30.N3273"", ""L41.N914"", ""L27.N4041"", ""L24.N1462"", ""L41.N580"", ""L38.N1584"", ""L26.N3179""]",fear,0.2468,0.2582,short_term,286.34,True
54,2025-10-05T04:20:15.407129,error_event,Trial_0054_error_event,surprise,"[""L26.N1577"", ""L45.N2684"", ""L30.N4008"", ""L40.N2506"", ""L30.N3351"", ""L37.N3602""]",surprise,0.2481,0.3891,short_term,539.41,True
55,2025-10-05T04:30:15.407252,memory_recall,Trial_0055_memory_recall,joy,"[""L25.N955"", ""L28.N2475"", ""L44.N2823"", ""L29.N1735"", ""L41.N66""]",joy,0.1857,0.2119,long_term,323.49,True
56,2025-10-05T04:40:15.407363,user_interaction,Trial_0056_user_interaction,surprise,"[""L46.N207"", ""L33.N2493"", ""L46.N2959"", ""L35.N656"", ""L39.N1931"", ""L31.N3027"", ""L26.N1679"", ""L36.N3350"", ""L42.N3175"", ""L45.N1540"", ""L43.N3943"", ""L47.N363"", ""L24.N3704"", ""L44.N1107"", ""L29.N2453"", ""L41.N455"", ""L30.N799"", ""L24.N1012"", ""L39.N2507""]",surprise,0.3581,0.3766,short_term,315.45,True
57,2025-10-05T04:50:15.407628,learning_discovery,Trial_0057_learning_discovery,neutral,"[""L26.N405"", ""L34.N2190"", ""L45.N1339"", ""L28.N243"", ""L33.N11"", ""L38.N560"", ""L33.N2725"", ""L41.N1452"", ""L26.N3229"", ""L47.N4073""]",neutral,0.2923,0.2666,short_term,421.13,True
58,2025-10-05T05:00:15.407792,conversation,Trial_0058_conversation,fear,"[""L27.N94"", ""L37.N2880"", ""L37.N2383"", ""L45.N237"", ""L43.N2946""]",neutral,0.4046,0.3859,short_term,318.89,False
59,2025-10-05T05:10:15.407917,user_interaction,Trial_0059_user_interaction,neutral,"[""L41.N3036"", ""L29.N2719"", ""L34.N253"", ""L25.N1083"", ""L46.N2514"", ""L42.N1540"", ""L42.N1953"", ""L33.N2392""]",neutral,0.2133,0.3118,short_term,304.44,True
60,2025-10-05T05:20:15.408055,learning_discovery,Trial_0060_learning_discovery,joy,"[""L29.N3302"", ""L41.N3134"", ""L28.N3699"", ""L26.N2566"", ""L45.N1549"", ""L30.N1764"", ""L45.N3716"", ""L46.N385""]",joy,0.4014,0.529,short_term,410.13,True
61,2025-10-05T05:30:15.408202,user_interaction,Trial_0061_user_interaction,neutral,"[""L27.N464"", ""L26.N496"", ""L34.N702"", ""L44.N2355"", ""L46.N628"", ""L27.N545"", ""L43.N623"", ""L41.N743"", ""L26.N1768"", ""L43.N1948"", ""L29.N2601"", ""L44.N2601"", ""L36.N2672"", ""L32.N2239"", ""L40.N3191"", ""L32.N424"", ""L24.N3201""]",neutral,0.4229,0.5294,short_term,177.64,True
62,2025-10-05T05:40:15.408444,creative_output,Trial_0062_creative_output,neutral,"[""L35.N2496"", ""L46.N2148"", ""L31.N844"", ""L31.N3576"", ""L46.N2090"", ""L24.N3692"", ""L42.N407"", ""L26.N2711"", ""L40.N1668""]",neutral,0.2671,0.3307,short_term,444.64,True
63,2025-10-05T05:50:15.408594,autonomous_thought,Trial_0063_autonomous_thought,neutral,"[""L29.N3694"", ""L39.N3291"", ""L40.N1246"", ""L31.N3839"", ""L31.N920"", ""L32.N3009"", ""L38.N2993"", ""L26.N3632"", ""L27.N3453"", ""L27.N1613"", ""L32.N2216"", ""L46.N189"", ""L41.N1801"", ""L44.N3747""]",neutral,0.2483,0.2751,short_term,181.75,True
64,2025-10-05T06:00:15.408796,error_event,Trial_0064_error_event,surprise,"[""L41.N2837"", ""L43.N2461"", ""L43.N1748"", ""L35.N3359"", ""L42.N685"", ""L40.N2935"", ""L44.N4066"", ""L46.N38"", ""L40.N779"", ""L32.N2990"", ""L41.N2196"", ""L36.N3069"", ""L44.N3709"", ""L31.N301""]",surprise,0.1531,0.2537,short_term,234.41,True
65,2025-10-05T06:10:15.409005,memory_recall,Trial_0065_memory_recall,fear,"[""L47.N1067"", ""L36.N2325"", ""L34.N2468"", ""L24.N2743"", ""L26.N702"", ""L45.N2066"", ""L46.N2460"", ""L30.N2155"", ""L38.N1304"", ""L28.N1134"", ""L31.N361""]",fear,0.2816,0.335,short_term,303.86,True
66,2025-10-05T06:20:15.409194,task_completion,Trial_0066_task_completion,anger,"[""L32.N2547"", ""L27.N2645"", ""L33.N2649"", ""L45.N3083"", ""L40.N1997"", ""L37.N1656"", ""L25.N3508"", ""L43.N2634"", ""L39.N1778"", ""L46.N1093"", ""L47.N3282"", ""L28.N697"", ""L27.N3694"", ""L27.N1043"", ""L33.N2583"", ""L45.N226"", ""L28.N3813""]",anger,0.3265,0.2622,short_term,211.03,True
67,2025-10-05T06:30:15.409436,memory_recall,Trial_0067_memory_recall,disgust,"[""L47.N161"", ""L41.N1938"", ""L42.N3888"", ""L37.N2258"", ""L45.N663"", ""L36.N1099"", ""L29.N1140"", ""L27.N3775"", ""L42.N431"", ""L36.N739"", ""L46.N2160"", ""L46.N2528""]",disgust,0.3174,0.3848,short_term,278.89,True
68,2025-10-05T06:40:15.409632,error_event,Trial_0068_error_event,disgust,"[""L39.N836"", ""L43.N1596"", ""L33.N2097"", ""L26.N972"", ""L34.N3696"", ""L45.N2028"", ""L29.N3920"", ""L36.N2610"", ""L44.N3986"", ""L33.N546"", ""L37.N921"", ""L42.N580"", ""L28.N2003"", ""L40.N2964""]",disgust,0.1171,0.1745,short_term,141.33,True
69,2025-10-05T06:50:15.409851,creative_output,Trial_0069_creative_output,fear,"[""L47.N875"", ""L33.N2461"", ""L45.N1243"", ""L30.N162"", ""L46.N3291"", ""L37.N631"", ""L33.N3919"", ""L39.N3253"", ""L33.N3800""]",fear,0.3366,0.2414,long_term,276.87,True
70,2025-10-05T07:00:15.410003,memory_recall,Trial_0070_memory_recall,neutral,"[""L33.N3737"", ""L35.N3959"", ""L37.N1336"", ""L28.N2361"", ""L44.N1105"", ""L28.N3202"", ""L46.N1753"", ""L28.N3031"", ""L40.N1938""]",neutral,0.3647,0.3267,short_term,78.1,True
71,2025-10-05T07:10:15.410170,task_completion,Trial_0071_task_completion,joy,"[""L25.N3648"", ""L33.N852"", ""L28.N1537"", ""L45.N3183"", ""L25.N2889"", ""L25.N3215"", ""L39.N434"", ""L30.N3157"", ""L35.N343"", ""L38.N4007""]",joy,0.2761,0.3693,short_term,150.35,True
72,2025-10-05T07:20:15.410335,autonomous_thought,Trial_0072_autonomous_thought,sadness,"[""L31.N2105"", ""L40.N446"", ""L25.N3992"", ""L47.N1277"", ""L26.N1991"", ""L35.N3168"", ""L33.N1011"", ""L26.N773"", ""L30.N3507"", ""L46.N2648"", ""L41.N1450"", ""L42.N2756"", ""L42.N778""]",sadness,0.2514,0.2722,short_term,464.29,True
73,2025-10-05T07:30:15.410538,task_completion,Trial_0073_task_completion,anger,"[""L35.N2433"", ""L30.N847"", ""L26.N2924"", ""L26.N282"", ""L41.N1898"", ""L31.N2533"", ""L24.N2267"", ""L24.N1014"", ""L31.N612"", ""L39.N3690""]",anger,0.0937,0.2309,short_term,159.02,True
